fecha,LI,R
2010-02-05,0.741,0.6591
2010-02-06,0.737,0.6536
2010-02-07,0.737,0.6536
2010-02-08,0.7355,0.6756
2010-02-09,0.7282,0.6756
2010-02-10,0.7282,0.6756
2010-02-11,0.7282,0.6756
2010-02-12,0.7282,0.6756
2010-02-13,0.7282,0.6756
2010-02-14,0.7282,0.6756
2010-02-15,0.7106,0.6756
2010-02-16,0.7106,0.6756
2010-02-17,0.7106,0.6756
2010-02-18,0.7106,0.6756
2010-02-19,0.6986,0.6756
2010-02-20,0.7096,0.6756
2010-02-21,0.7096,0.6756
2010-02-22,0.7096,0.6756
2010-02-23,0.7096,0.6756
2010-02-24,0.7096,0.6756
2010-02-25,0.7096,0.6756
2010-02-26,0.698,0.6642
2010-02-27,0.698,0.6642
2010-02-28,0.698,0.6642
2010-03-01,0.698,0.6642
2010-03-02,0.7022,0.6661
2010-03-03,0.6909,0.6675
2010-03-04,0.6994,0.6756
2010-03-05,0.7062,0.6756
2010-03-06,0.7062,0.6756
2010-03-07,0.7062,0.6756
2010-03-08,0.7062,0.6756
2010-03-09,0.7062,0.6756
2010-03-10,0.7062,0.6756
2010-03-11,0.7172,0.6756
2010-03-12,0.694,0.6756
2010-03-13,0.694,0.6756
2010-03-14,0.694,0.6756
2010-03-15,0.6982,0.6756
2010-03-16,0.6982,0.6756
2010-03-17,0.6982,0.6756
2010-03-18,0.6982,0.6756
2010-03-19,0.6982,0.6756
2010-03-20,0.676,0.6544
2010-03-21,0.676,0.6544
2010-03-22,0.6825,0.6568
2010-03-23,0.6825,0.6568
2010-03-24,0.6825,0.6568
2010-03-25,0.6825,0.6568
2010-03-26,0.6825,0.6568
2010-03-27,0.6825,0.6568
2010-03-28,0.682,0.6453
2010-03-29,0.682,0.6453
2010-03-30,0.6745,0.6486
2010-03-31,0.6745,0.6486
2010-04-01,0.6871,0.6568
2010-04-02,0.7148,0.6756
2010-04-03,0.7006,0.6756
2010-04-04,0.6715,0.6519
2010-04-05,0.6715,0.6519
2010-04-06,0.6715,0.6519
2010-04-07,0.6601,0.6429
2010-04-08,0.6508,0.6213
2010-04-09,0.6508,0.6213
2010-04-10,0.6498,0.6191
2010-04-11,0.6572,0.6134
2010-04-12,0.6572,0.6134
2010-04-13,0.6506,0.6191
2010-04-14,0.6444,0.6134
2010-04-15,0.6407,0.6068
2010-04-16,0.6527,0.6134
2010-04-17,0.6596,0.613
2010-04-18,0.6479,0.6127
2010-04-19,0.6439,0.6143
2010-04-20,0.6328,0.5958
2010-04-21,0.6257,0.5859
